#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/   red_fsiXsec_theory[f,3]/
55.000000   0.031717   7.123193818151e-07   6.889024139362e-07
55.000000   0.062179   1.773614897649e-07   1.670343635034e-07
55.000000   0.099276   3.762127135577e-08   3.360781731397e-08
55.000000   0.138326   9.560154528966e-09   7.875400568635e-09
55.000000   0.178549   2.868463015712e-09   2.054483543175e-09
55.000000   0.218425   1.013503168887e-09   6.974088034818e-10
55.000000   0.258683   4.029902338138e-10   2.610175760618e-10
55.000000   0.298811   1.802766275230e-10   1.233362194296e-10
55.000000   0.338861   8.962551860496e-11   6.839002427345e-11
55.000000   0.379081   4.865570431293e-11   4.383400127792e-11
55.000000   0.419002   2.850691563346e-11   3.110178249601e-11
55.000000   0.467208   1.659912142863e-11   1.883253519052e-11
55.000000   0.503668   1.111326005823e-11   1.480182477351e-11
55.000000   0.541721   7.448205190325e-12   1.170932430252e-11
55.000000   0.580031   5.030177337544e-12   9.549906239708e-12
55.000000   0.624813   3.252230452762e-12   6.483697072059e-12
55.000000   0.661084   2.255030178172e-12   5.436651156686e-12
55.000000   0.697013   1.574708392417e-12   4.551369967015e-12
55.000000   0.740432   1.021207844203e-12   3.063638797922e-12
55.000000   0.779733   6.809095100074e-13   2.425377377542e-12
55.000000   0.818995   4.513291750934e-13   1.928303944138e-12
55.000000   0.858469   2.966611915441e-13   1.537683059922e-12
55.000000   0.897297   1.950642966816e-13   1.167018283762e-12
55.000000   0.936886   1.265305975520e-13   8.991225821580e-13
55.000000   0.976838   8.119977386362e-14   6.171299319650e-13
55.000000   1.015170   5.284220483302e-14   4.593364999209e-13
55.000000   1.056004   3.334412335308e-14   3.089961693874e-13
55.000000   1.092107   2.219482469805e-14   4.181680110672e-13
55.000000   1.132664   1.411486951304e-14   8.766754172268e-14
55.000000   1.172577   9.110821926189e-15   5.941265738954e-14
