#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/   red_fsiXsec_theory[f,3]/
35.000000   0.031807   7.097893505220e-07   6.839813336477e-07
35.000000   0.062170   1.775394701738e-07   1.671445929797e-07
35.000000   0.099140   3.786406002702e-08   3.447297537269e-08
35.000000   0.138748   9.453073496173e-09   8.367805935231e-09
35.000000   0.177804   2.938573813122e-09   2.508692428598e-09
35.000000   0.217658   1.036572356390e-09   8.489930474192e-10
35.000000   0.257537   4.144051356250e-10   3.305194892210e-10
35.000000   0.297431   1.854544774649e-10   1.504192013398e-10
35.000000   0.337372   9.197007919106e-11   7.527785006586e-11
35.000000   0.387658   4.434343848541e-11   3.689512161227e-11
35.000000   0.424064   2.755331845314e-11   2.329385025407e-11
35.000000   0.460382   1.789143323957e-11   1.576565530543e-11
35.000000   0.505217   1.102322880015e-11   9.650995459968e-12
35.000000   0.545069   7.324806222868e-12   6.323500906491e-12
35.000000   0.582416   5.011148276726e-12   4.380423085167e-12
35.000000   0.620893   3.405790325566e-12   2.962091970399e-12
35.000000   0.660168   2.299127398109e-12   1.996043915247e-12
35.000000   0.699596   1.547261008463e-12   1.391501085102e-12
35.000000   0.739075   1.037334096287e-12   9.692679485629e-13
35.000000   0.778919   6.893998653654e-13   6.657695332336e-13
35.000000   0.818674   4.560239046153e-13   4.788703032149e-13
35.000000   0.858392   2.997937275333e-13   3.555216171993e-13
35.000000   0.898098   1.959580031378e-13   2.697912368798e-13
35.000000   0.937883   1.271825105649e-13   2.094144668291e-13
35.000000   0.977679   8.208996705783e-14   1.676464532356e-13
35.000000   1.017326   5.285083019123e-14   1.390053206776e-13
35.000000   1.056876   3.400808530809e-14   1.138080743733e-13
35.000000   1.097022   2.170964244769e-14   9.156170852479e-14
35.000000   1.136492   1.405137240626e-14   7.383412489237e-14
35.000000   1.172058   9.537723069648e-15   5.971013774703e-14
