#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/   red_fsiXsec_theory[f,3]/
85.000000   0.030713   7.420046642270e-07   7.174156147957e-07
85.000000   0.061080   1.855429600843e-07   1.754682538437e-07
85.000000   0.098387   3.848075798889e-08   3.302997630013e-08
85.000000   0.137084   9.726406862682e-09   7.645531857150e-09
85.000000   0.176686   2.905374517829e-09   1.953987095030e-09
85.000000   0.216791   9.968482907234e-10   6.014983425652e-10
85.000000   0.257164   3.902415798377e-10   3.343775371366e-10
85.000000   0.297715   1.758525927919e-10   1.733067537047e-10
85.000000   0.337714   9.267673836715e-11   1.468946286860e-10
85.000000   0.377337   5.583143997043e-11   9.519491909854e-11
85.000000   0.415198   3.755537776003e-11   7.317801471368e-11
85.000000   0.452612   2.678380409498e-11   4.559540434864e-11
85.000000   0.489415   1.979635435163e-11   3.289630042814e-11
