#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/   red_fsiXsec_theory[f,3]/
75.000000   0.032054   7.020497835131e-07   6.795740948587e-07
75.000000   0.061312   1.843692899191e-07   1.725961674718e-07
75.000000   0.097880   3.965386917451e-08   3.520472693264e-08
75.000000   0.137151   9.921900921858e-09   7.601951519327e-09
75.000000   0.176925   3.001918204324e-09   1.801651977532e-09
75.000000   0.217235   1.044906616938e-09   6.183274068367e-10
75.000000   0.258085   4.090591712112e-10   2.176643822575e-10
75.000000   0.299686   1.779001315244e-10   1.470002427639e-10
75.000000   0.339653   8.889530325425e-11   1.148420614779e-10
75.000000   0.379691   4.856826112987e-11   1.097996721992e-10
75.000000   0.419340   2.863751947568e-11   1.022383542221e-10
75.000000   0.458626   1.783568564410e-11   6.663315494787e-11
75.000000   0.498117   1.146193905552e-11   4.440537852633e-11
75.000000   0.537633   7.522012845765e-12   3.242678038940e-11
75.000000   0.576881   5.016385155754e-12   2.101979614000e-11
75.000000   0.615864   3.376701109865e-12   1.399854333838e-11
75.000000   0.653612   2.307457343892e-12   7.609972072313e-12
75.000000   0.693321   1.548151842852e-12   4.097657233569e-12
75.000000   0.734930   1.012631291010e-12   2.340576872950e-12
