#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/   red_fsiXsec_theory[f,3]/
15.000000   0.032230   6.959666590612e-07   6.748747625063e-07
15.000000   0.062477   1.745136046251e-07   1.662514096672e-07
15.000000   0.098535   3.843335590277e-08   3.559102597102e-08
15.000000   0.136693   9.934691807354e-09   9.028977470629e-09
15.000000   0.175228   3.061748887341e-09   2.752104271325e-09
15.000000   0.214385   1.070736414132e-09   9.486719569171e-10
15.000000   0.252989   4.320625388964e-10   3.801713112688e-10
15.000000   0.291490   1.988987106574e-10   1.761757816988e-10
15.000000   0.326038   1.113044527754e-10   9.966320976395e-11
15.000000   0.430843   3.314004023580e-11   2.930737765227e-11
15.000000   0.464396   2.492237008310e-11   2.217367698491e-11
15.000000   0.500803   1.869851587046e-11   1.690810481431e-11
15.000000   0.540564   1.382383070324e-11   1.252083196919e-11
15.000000   0.580298   1.025602872461e-11   9.306189306017e-12
15.000000   0.619627   7.603602890017e-12   6.899888100343e-12
15.000000   0.660182   5.557973201692e-12   5.156281240905e-12
15.000000   0.699669   4.078084166374e-12   3.708769494628e-12
15.000000   0.738147   2.994361258713e-12   2.723070210360e-12
15.000000   0.774762   2.217942318438e-12   2.021934398738e-12
15.000000   0.816504   1.556606707793e-12   1.407463950226e-12
15.000000   0.852701   1.137106886237e-12   1.021369170389e-12
15.000000   0.883039   8.686887599269e-13   7.766946718621e-13
