#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/   red_fsiXsec_theory[f,3]/
25.000000   0.032152   6.994763135678e-07   6.778546391367e-07
25.000000   0.062560   1.744950016840e-07   1.659606270401e-07
25.000000   0.099209   3.779850860902e-08   3.506249958844e-08
25.000000   0.137853   9.751414632638e-09   8.734213475558e-09
25.000000   0.176850   3.027501084389e-09   2.652397359750e-09
25.000000   0.216640   1.067203581821e-09   9.112020948063e-10
25.000000   0.256381   4.269853598563e-10   3.590746239495e-10
25.000000   0.296126   1.911904182991e-10   1.607622855652e-10
25.000000   0.334696   9.674103227268e-11   8.164376155120e-11
25.000000   0.386441   4.547086511585e-11   3.873866406610e-11
25.000000   0.428482   2.625886547659e-11   2.214646124253e-11
25.000000   0.463368   1.746580307250e-11   1.469003281767e-11
25.000000   0.507908   1.074297879066e-11   9.083052765425e-12
25.000000   0.543907   7.374038561364e-12   6.347543693933e-12
25.000000   0.581385   5.037894913281e-12   4.286619197481e-12
25.000000   0.620259   3.411389719022e-12   2.939491000719e-12
25.000000   0.659451   2.305613759383e-12   1.984003162015e-12
25.000000   0.699139   1.548125002457e-12   1.361358624676e-12
25.000000   0.738678   1.037255539470e-12   8.644140311687e-13
25.000000   0.778119   6.923493473814e-13   5.482363972941e-13
25.000000   0.817520   4.596048485149e-13   3.730414494519e-13
25.000000   0.857059   3.027588189784e-13   2.632476773908e-13
25.000000   0.896334   1.988872500633e-13   1.810927095338e-13
25.000000   0.935772   1.296596725129e-13   1.282401404544e-13
25.000000   0.973400   8.594214203289e-14   9.880949754954e-14
25.000000   1.015707   5.386049996915e-14   7.115189451165e-14
25.000000   1.054852   3.486888852225e-14   6.452264416113e-14
25.000000   1.093797   2.270494095851e-14   5.533861114117e-14
25.000000   1.132256   1.493481690885e-14   4.974018817154e-14
25.000000   1.170655   9.955450520306e-15   4.497771972595e-14
